Location ,Latitude ,Longitude ,Type
Marina Aquatic Center,33.9680884,-118.4463313,Activity
Six Flags,34.4202319,-118.5897115,Activity
Leo Carrillo Beach,34.0449163,-118.935341,Activity
El Matador Beach,34.0388804,-118.875075,Activity
Point Dume,34.0027259,-118.806887,Activity
Malibu Canyon Road,34.0880772,-118.7068398,Activity
Topanga Canyon Blvd,34.0896278,-118.6044003,Activity
The Getty Villa,34.0446075,-118.5657604,Activity
Point at the Bluffs,34.0359104,-118.5325898,Activity
Topanga Overlook,34.1396564,-118.6015829,Activity
The Village at Westfield Topanga,34.1847812,-118.6056438,Activity
Lake Balboa Park,34.1805343,-118.4973333,Activity
The Japanese Garden,34.1820667,-118.4810079,Activity
Castle Park,34.1614151,-118.4682202,Activity
Mulholland Drive,34.1316607,-118.4337414,Activity
Universal City Overlook,34.1292107,-118.3651526,Activity
The Getty,34.0801389,-118.4756985,Activity
Getty View Park,34.0987068,-118.4734718,Activity
Rodeo Drive,34.0704125,-118.4041462,Activity
Waldorf Astoria Rooftop,34.0667014,-118.4114894,Activity
Playboy Mansion,34.07638602,-118.4295361,Activity
Westfield Century City Mall,34.059936,-118.420109,Activity
Q's Billiard Club,34.04757585,-118.4633054,Activity
Douglas Park,34.034928,-118.478846,Activity
Rockreation Climbing Center,34.034992,-118.453567,Activity
Bergamot,34.028485,-118.468464,Activity
3rd Street Promenade,34.0163528,-118.4969225,Activity
Palisades Park,34.02278744,-118.5089375,Activity
Pacific Coast Highway,34.0104975,-118.496126,Activity
Santa Monica Pier,34.0084361,-118.4985979,Activity
Santa Monica Beach swings,34.00905387,-118.4947787,Activity
Santa Monica bike path,34.0054785,-118.4914375,Activity
Venice Beach boardwalk,33.9858199,-118.4727518,Activity
Venice Canals,33.9839595,-118.4675936,Activity
The Wende Museum,34.01167115,-118.4039279,Activity
The Museum of Jurassic Technology,34.02577201,-118.3950245,Activity
Dockweiler Beach,33.9303405,-118.4360913,Activity
Redondo Beach Pier,33.840335,-118.3924394,Activity
The Baked Potato,34.1367118,-118.3630246,Activity
Universal Studios,34.1379559,-118.3520446,Activity
Lake Hollywood Park,34.1266035,-118.3257737,Activity
The Old LA Zoo,34.1348774,-118.2882117,Activity
Bee Rock,34.1341862,-118.2937911,Activity
Griffith Observatory,34.1187331,-118.3005315,Activity
Hollywood Blvd,34.1015456,-118.3400737,Activity
Amoeba Music,34.1013733,-118.3249393,Activity
Melrose Ave Shopping District,34.0836967,-118.3688879,Activity
La Brea Tar Pits,34.0638331,-118.3554192,Activity
LACMA,34.0630395,-118.3590507,Activity
Petersen Automotive Museum,34.061978,-118.3612805,Activity
The Grove,34.0722146,-118.3575048,Activity
The Original Farmer's Market,34.0719843,-118.3603672,Activity
Cliffs of Id,34.03303419,-118.3707051,Activity
Angels Point,34.0806188,-118.2453524,Activity
Echo Park Lake,34.0734818,-118.2606953,Activity
Vista Hermosa Natural Park,34.061863,-118.2570193,Activity
Chinatown Central Plaza,34.065251,-118.2374503,Activity
Olvera Street,34.0574608,-118.2379488,Activity
LA City Hall observation deck,34.0538694,-118.2425961,Activity
Grand Park,34.0554552,-118.2455507,Activity
Grand Central Market,34.0507491,-118.2487541,Activity
The Broad,34.0544664,-118.25058,Activity
Westin Bonaventure Hotel elevator,34.0528025,-118.2554519,Activity
Museum of Contemporary Art,34.0532917,-118.2505384,Activity
Central Library,34.050406,-118.2554878,Activity
The Last Bookstore,34.0476819,-118.2495544,Activity
Japanese Village Plaza,34.0489151,-118.240505,Activity
The Geffen Contemporary at MOCA,34.0504555,-118.2388353,Activity
Santee Alley,34.0385952,-118.255409,Activity
The Arts District,34.0413005,-118.2335202,Activity
USC,34.0211294,-118.2860074,Activity
Descanso Gardens,34.2010279,-118.2116934,Activity
Old Pasadena,34.1457785,-118.1504555,Activity
"Huntington Library, Art Museum, and Gardens",34.1283971,-118.1151916,Activity
Norton Simon Museum,34.1462254,-118.1591616,Activity
LA County Arboretum,34.142294,-118.0528539,Activity
Mount Wilson Observatory,34.2248452,-118.0571036,Activity
Paramount Drive-In Theaters,33.9028893,-118.1630381,Activity
Abalone Cove Shoreline Park,33.7405449,-118.3755109,Activity
Korean Friendship Bell,33.7098313,-118.2940043,Activity
Ocean Trails Park,33.7297774,-118.3497842,Activity
Vincent Thomas Bridge,33.7496036,-118.2716042,Activity
Aquarium of the Pacific,33.7625221,-118.1958229,Activity
Disneyland,33.811879,-117.9195761,Activity
California Adventure,33.8058295,-117.9218981,Activity
The Smell,34.05046264,-118.244828,Activity
Malibu Farm Pier Cafe,34.03569572,-118.6755902,Food
Nobu Malibu,34.03907435,-118.6696907,Food
Neptune's Net,34.05312558,-118.9625479,Food
Inn of the Seventh Ray,34.09028409,-118.6048717,Food
Hawaiian Hot Chicken,34.25010364,-118.51953,Food
Tonga Hut,34.18634449,-118.4121913,Food
Tiki No,34.15536385,-118.3693388,Food
The Wellesbourne,34.03944477,-118.4306493,Food
Sonoritas Prime Tacos,34.04075845,-118.443351,Food
Killer Noodle Tsujita,34.04029707,-118.4428764,Food
Tsujita LA Artisan Noodles,34.03946301,-118.4427626,Food
Mizu 212,34.04089958,-118.4434054,Food
B Sweet Dessert Bar ,34.04058958,-118.443608,Food
Sun Nong Dan,34.06311806,-118.2975086,Food
Yup Dduk LA,34.06400792,-118.3005402,Food
Gracias Madre West Hollywood,34.0812273,-118.386904,Food
Gen Korean BBQ,34.14735792,-118.2537066,Food
Zankou Chicken,34.04715975,-118.4436966,Food
Bollywood Bites,34.06104066,-118.4474022,Food
Uovo | Santa Monica,34.01570652,-118.4980058,Food
FIG,34.0181035,-118.501052,Food
Broxton Brewery & Public House,34.06115818,-118.4456848,Food
Elephante,34.01546641,-118.4976088,Food
Diddy Riese (dessert?),34.06307608,-118.446857,Food
Citizen Public Market,34.02496763,-118.3937356,Food
Coco Ichibanya Curry Restaurant BRENTWOOD,34.04610903,-118.4656631,Food
Saffron & Rose Ice Cream,34.0556709,-118.4430145,Food
Bao Dim Sum House,34.07605637,-118.369743,Food
"The Butcher, The Baker, The Cappuccino Maker",34.09250595,-118.3799258,Food
Emporium Thai,34.05728219,-118.4431493,Food
Tacos 1986,34.06068322,-118.4447681,Food
Espresso Profeta,34.06034446,-118.4440584,Food
Lazy Daisy Cafe,34.05997467,-118.4465829,Food
House of Meatballs,34.06088853,-118.4464619,Food
Lamonica's NY Pizza,34.06093427,-118.4470251,Food
Circle Bar,33.99894922,-118.4804861,Bar
Micky's WeHo,34.08581918,-118.3839729,Bar
Rocco's WeHo,34.08466563,-118.3839902,Bar
The Abbey,34.08374759,-118.3848843,Bar
